team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYI,2022,NYI,NYI,Team Level,5on4,63,0.9,0.87,0.85,17944.0,270.08,34.92,24.09,58.2,8.97,167.81,85.01,31.56,34.92,31.56,268.0,111.0,127.0,506.0,26.0,32.0,5.0,55.0,5.0,143.0,118.0,242.0,353.0,9.0,21.0,175.0,22.0,15.0,59.0,276.0,64.0,39.0,7.58,7.59,19.75,8.0,5.0,13.0,506.0,379.0,379.0,5.0,6.14,9.96,9.96,31.1,31.1,29.0,46.76,3.84,2.5,7.49,1.69,16.09,33.4,3.73,3.84,3.73,57.0,8.0,8.0,73.0,5.0,1.0,0.0,4.0,1.0,12.0,42.0,52.0,60.0,6.0,15.0,138.0,49.0,26.0,29.0,48.0,15.0,2.0,1.29,2.06,0.49,1.0,3.0,1.0,73.0,65.0,65.0,24.0,0.58,0.08,0.08,4.33,4.33,4.22
CGY,2022,CGY,CGY,Team Level,other,60,0.49,0.49,0.49,7840.0,102.7,23.66,6.84,18.29,3.3,53.48,37.44,21.65,23.66,21.65,97.0,46.0,49.0,192.0,15.0,6.0,0.0,20.0,5.0,46.0,51.0,82.0,128.0,12.0,28.0,94.0,31.0,19.0,19.0,70.0,41.0,32.0,2.71,5.03,15.92,2.0,4.0,9.0,192.0,143.0,143.0,11.0,1.99,1.87,1.87,23.77,23.77,22.29,111.62,24.26,8.02,19.05,3.57,58.26,37.84,22.68,24.26,22.68,112.0,39.0,48.0,199.0,26.0,10.0,4.0,17.0,5.0,50.0,43.0,86.0,125.0,4.0,8.0,109.0,24.0,14.0,21.0,68.0,51.0,32.0,2.75,6.54,14.97,5.0,7.0,14.0,199.0,151.0,151.0,8.0,2.38,3.28,3.28,23.36,23.36,22.12
CGY,2022,CGY,CGY,Team Level,all,60,0.53,0.56,0.56,218839.0,2139.96,198.94,144.68,501.91,71.68,1180.03,876.77,191.87,200.47,193.34,2126.0,848.0,1000.0,3974.0,189.0,193.0,30.0,519.0,48.0,847.0,1178.0,1937.0,2785.0,246.0,553.0,1868.0,1446.0,478.0,537.0,2240.0,528.0,206.0,61.56,64.86,72.54,55.0,70.0,64.0,4010.6,2974.0,2998.08,279.0,31.97,39.61,39.61,191.3,192.6,188.62,1689.11,177.29,116.44,384.94,55.38,911.19,668.76,170.03,177.23,169.99,1623.0,691.0,762.0,3076.0,184.0,142.0,18.0,377.0,80.0,671.0,860.0,1439.0,2130.0,233.0,517.0,1804.0,1305.0,487.0,624.0,1613.0,521.0,180.0,49.06,64.54,63.69,66.0,66.0,52.0,3067.35,2314.0,2312.02,341.0,26.05,29.6,29.66,173.66,173.68,169.67
CGY,2022,CGY,CGY,Team Level,5on5,60,0.54,0.57,0.57,172821.0,1665.76,133.58,106.3,409.03,55.89,914.33,687.86,129.46,135.11,130.93,1643.0,664.0,795.0,3102.0,130.0,154.0,22.0,427.0,34.0,636.0,926.0,1513.0,2177.0,213.0,483.0,1412.0,1321.0,379.0,439.0,1781.0,402.0,124.0,49.67,49.48,34.43,49.0,58.0,23.0,3138.6,2307.0,2331.08,232.0,21.87,29.03,29.03,126.42,127.73,125.97,1274.77,113.87,84.06,306.91,42.03,685.35,517.78,110.2,113.81,110.16,1215.0,535.0,593.0,2343.0,120.0,113.0,12.0,292.0,60.0,501.0,664.0,1095.0,1630.0,211.0,473.0,1365.0,1197.0,412.0,508.0,1278.0,367.0,105.0,39.01,45.87,29.0,55.0,46.0,19.0,2334.35,1750.0,1748.03,297.0,17.41,21.74,21.8,109.48,109.49,107.95
CGY,2022,CGY,CGY,Team Level,4on5,60,0.17,0.21,0.24,19571.0,80.16,7.26,4.25,11.85,2.7,27.57,58.38,7.2,7.26,7.2,88.0,24.0,13.0,125.0,6.0,1.0,0.0,10.0,1.0,17.0,77.0,82.0,106.0,8.0,16.0,176.0,68.0,55.0,37.0,86.0,19.0,7.0,2.42,2.38,2.46,1.0,2.0,3.0,125.0,112.0,112.0,34.0,0.97,0.33,0.33,7.9,7.9,7.85,259.67,35.17,22.44,53.27,8.48,154.53,82.12,33.31,35.17,33.31,247.0,109.0,106.0,462.0,35.0,16.0,2.0,62.0,14.0,113.0,116.0,212.0,321.0,7.0,14.0,173.0,26.0,17.0,63.0,228.0,89.0,39.0,6.14,10.47,18.56,6.0,10.0,19.0,462.0,356.0,356.0,8.0,5.81,3.73,3.73,37.25,37.25,36.05
CGY,2022,CGY,CGY,Team Level,5on4,60,0.9,0.89,0.88,18607.0,291.34,34.44,27.29,62.73,9.8,184.65,93.1,33.55,34.44,33.55,298.0,114.0,143.0,555.0,38.0,32.0,8.0,62.0,8.0,148.0,124.0,260.0,374.0,13.0,26.0,186.0,26.0,25.0,42.0,303.0,66.0,43.0,6.76,7.96,19.73,3.0,6.0,29.0,555.0,412.0,412.0,2.0,7.15,8.38,8.38,33.21,33.21,32.5,43.06,3.99,1.92,5.71,1.3,13.05,31.03,3.83,3.99,3.83,49.0,8.0,15.0,72.0,3.0,3.0,0.0,6.0,1.0,7.0,37.0,46.0,54.0,11.0,22.0,157.0,58.0,44.0,32.0,39.0,14.0,4.0,1.17,1.66,1.16,0.0,3.0,0.0,72.0,57.0,57.0,28.0,0.45,0.86,0.86,3.58,3.58,3.55
PIT,2022,PIT,PIT,Team Level,other,59,0.56,0.5,0.49,6246.0,97.17,27.88,7.21,16.11,3.26,48.08,29.45,25.06,27.88,25.06,93.0,39.0,42.0,174.0,25.0,12.0,3.0,8.0,3.0,48.0,36.0,68.0,107.0,7.0,17.0,81.0,33.0,14.0,14.0,55.0,38.0,39.0,2.41,4.75,20.72,3.0,8.0,14.0,174.0,132.0,132.0,5.0,2.19,4.34,4.34,25.74,25.74,24.56,101.69,22.23,7.2,17.97,3.12,53.42,34.07,20.58,22.23,20.58,93.0,45.0,36.0,174.0,23.0,9.0,2.0,12.0,0.0,50.0,44.0,70.0,115.0,8.0,19.0,77.0,19.0,19.0,10.0,63.0,47.0,28.0,2.39,5.74,14.09,2.0,8.0,13.0,174.0,138.0,138.0,1.0,2.12,2.52,2.52,21.84,21.84,20.43
PIT,2022,PIT,PIT,Team Level,all,59,0.52,0.51,0.51,214584.0,1993.51,213.5,144.74,461.19,67.82,1080.69,783.14,201.3,214.88,202.61,1989.0,763.0,923.0,3675.0,191.0,224.0,33.0,373.0,60.0,906.0,998.0,1798.0,2561.0,209.0,440.0,1775.0,1715.0,468.0,559.0,1904.0,606.0,242.0,54.41,75.8,83.3,60.0,69.0,62.0,3707.53,2752.0,2772.12,279.0,32.2,48.31,48.31,197.32,198.4,192.77,1935.25,194.28,137.94,443.65,64.2,1061.74,774.19,185.58,194.6,185.91,2007.0,669.0,859.0,3535.0,189.0,178.0,25.0,374.0,42.0,908.0,985.0,1818.0,2487.0,223.0,473.0,1637.0,1500.0,465.0,468.0,1918.0,566.0,192.0,56.71,69.52,68.05,54.0,73.0,62.0,3530.44,2676.0,2672.29,223.0,30.61,40.16,40.31,184.58,184.82,180.1
PIT,2022,PIT,PIT,Team Level,5on5,59,0.52,0.51,0.51,172520.0,1575.06,142.84,107.83,381.97,53.53,854.57,637.33,136.86,144.21,138.17,1567.0,612.0,745.0,2924.0,122.0,167.0,17.0,313.0,51.0,718.0,808.0,1445.0,2057.0,182.0,383.0,1375.0,1576.0,389.0,468.0,1569.0,462.0,148.0,44.74,57.99,40.11,51.0,46.0,25.0,2956.53,2179.0,2199.12,253.0,22.42,33.31,33.31,131.88,132.96,130.24,1498.16,132.27,101.34,359.16,50.12,821.26,610.85,127.37,132.6,127.7,1555.0,520.0,700.0,2775.0,126.0,131.0,18.0,293.0,33.0,710.0,782.0,1429.0,1949.0,193.0,410.0,1255.0,1396.0,390.0,392.0,1522.0,436.0,117.0,45.41,53.51,33.36,45.0,55.0,26.0,2770.44,2075.0,2071.29,201.0,21.0,27.68,27.83,125.44,125.68,123.53
PIT,2022,PIT,PIT,Team Level,4on5,59,0.13,0.11,0.14,17315.0,43.12,4.65,2.39,5.81,1.39,14.42,30.34,4.6,4.65,4.6,51.0,8.0,4.0,63.0,5.0,1.0,1.0,5.0,2.0,6.0,40.0,46.0,54.0,4.0,8.0,138.0,76.0,39.0,17.0,39.0,13.0,7.0,0.81,1.88,1.96,0.0,4.0,1.0,63.0,59.0,59.0,15.0,0.55,0.39,0.39,4.81,4.81,4.79,270.43,31.71,25.71,57.47,8.89,167.03,87.19,29.93,31.71,29.93,287.0,91.0,119.0,497.0,35.0,30.0,5.0,61.0,8.0,136.0,108.0,252.0,343.0,16.0,32.0,175.0,25.0,14.0,45.0,278.0,67.0,33.0,6.97,8.16,16.58,7.0,8.0,20.0,497.0,378.0,378.0,5.0,6.64,8.05,8.05,30.31,30.31,29.2
PIT,2022,PIT,PIT,Team Level,5on4,59,0.83,0.85,0.82,18503.0,278.15,38.13,27.3,57.29,9.63,163.62,86.02,34.78,38.13,34.78,278.0,104.0,132.0,514.0,39.0,44.0,12.0,47.0,4.0,134.0,114.0,239.0,343.0,16.0,32.0,181.0,30.0,26.0,60.0,241.0,93.0,48.0,6.44,11.18,20.52,6.0,11.0,22.0,514.0,382.0,382.0,6.0,7.03,10.27,10.27,34.89,34.89,33.17,64.96,8.06,3.7,9.05,2.07,20.04,42.09,7.7,8.06,7.7,72.0,13.0,4.0,89.0,5.0,8.0,0.0,8.0,1.0,12.0,51.0,67.0,80.0,6.0,12.0,130.0,60.0,42.0,21.0,55.0,16.0,14.0,1.94,2.11,4.02,0.0,2.0,3.0,89.0,85.0,85.0,16.0,0.84,1.91,1.91,7.0,7.0,6.93
ARI,2022,ARI,ARI,Team Level,other,59,0.39,0.41,0.38,6969.0,85.44,20.77,5.68,14.36,2.85,44.71,28.63,19.62,20.77,19.62,81.0,36.0,47.0,164.0,20.0,8.0,0.0,12.0,3.0,43.0,31.0,61.0,97.0,6.0,12.0,77.0,30.0,19.0,19.0,53.0,34.0,30.0,2.34,4.54,13.9,2.0,4.0,14.0,164.0,117.0,117.0,6.0,1.66,2.17,2.17,20.26,20.26,19.76,140.19,32.07,10.82,23.77,4.63,75.01,47.67,29.61,32.07,29.61,136.0,58.0,41.0,235.0,23.0,17.0,5.0,23.0,4.0,70.0,57.0,113.0,171.0,2.0,4.0,100.0,30.0,18.0,14.0,87.0,65.0,42.0,3.91,8.33,19.83,1.0,10.0,12.0,235.0,194.0,194.0,6.0,3.2,6.61,6.61,28.66,28.66,26.88
ARI,2022,ARI,ARI,Team Level,all,59,0.42,0.43,0.42,215439.0,1551.14,162.21,109.78,345.83,50.3,854.53,616.35,154.05,161.79,153.64,1518.0,621.0,721.0,2860.0,157.0,124.0,13.0,316.0,43.0,702.0,797.0,1361.0,1982.0,249.0,555.0,1521.0,1509.0,347.0,567.0,1507.0,462.0,170.0,45.29,56.32,60.6,48.0,55.0,54.0,2823.82,2139.0,2123.5,307.0,24.36,25.39,25.39,161.19,160.61,155.1,2098.04,226.87,152.84,474.79,69.2,1165.31,817.0,214.09,228.36,215.49,2093.0,813.0,873.0,3779.0,208.0,191.0,36.0,472.0,70.0,999.0,966.0,1885.0,2698.0,216.0,491.0,1820.0,1347.0,400.0,480.0,2006.0,676.0,224.0,62.53,84.44,79.9,62.0,81.0,65.0,3833.26,2906.0,2933.92,222.0,34.44,41.5,41.55,219.76,221.02,212.54
ARI,2022,ARI,ARI,Team Level,5on5,59,0.43,0.45,0.44,169868.0,1205.6,105.86,81.52,281.72,39.08,664.1,491.71,102.53,105.45,102.11,1173.0,491.0,575.0,2239.0,102.0,91.0,12.0,257.0,35.0,536.0,643.0,1071.0,1562.0,221.0,501.0,1156.0,1406.0,286.0,468.0,1214.0,357.0,93.0,36.85,43.46,25.56,41.0,42.0,19.0,2202.82,1664.0,1648.5,267.0,16.85,18.57,18.86,103.87,103.28,101.58,1527.4,138.01,104.0,364.55,50.02,840.59,617.82,132.86,139.5,134.25,1538.0,577.0,671.0,2786.0,130.0,133.0,25.0,378.0,55.0,699.0,720.0,1408.0,1985.0,197.0,453.0,1361.0,1242.0,329.0,409.0,1523.0,470.0,122.0,46.74,58.79,32.48,50.0,52.0,28.0,2840.26,2115.0,2142.92,203.0,21.59,26.21,26.26,133.34,134.6,131.99
ARI,2022,ARI,ARI,Team Level,4on5,59,0.08,0.08,0.09,21097.0,39.22,4.59,2.06,5.45,1.18,11.82,26.89,4.52,4.59,4.52,44.0,8.0,6.0,58.0,4.0,2.0,0.0,1.0,0.0,6.0,39.0,40.0,48.0,7.0,14.0,151.0,55.0,37.0,31.0,30.0,15.0,7.0,0.94,1.75,1.91,1.0,2.0,1.0,58.0,52.0,52.0,28.0,0.46,0.66,0.66,4.41,4.41,4.37,389.29,52.18,35.44,80.16,13.15,235.69,123.37,47.07,52.18,47.07,372.0,168.0,148.0,688.0,54.0,41.0,6.0,66.0,10.0,220.0,149.0,318.0,486.0,11.0,22.0,221.0,24.0,14.0,43.0,361.0,124.0,55.0,10.61,15.32,26.26,11.0,19.0,24.0,688.0,540.0,540.0,2.0,9.06,8.68,8.68,52.57,52.57,48.55
ARI,2022,ARI,ARI,Team Level,5on4,59,0.87,0.85,0.84,17505.0,220.89,30.97,20.52,44.3,7.19,133.9,69.12,27.39,30.97,27.39,220.0,86.0,93.0,399.0,31.0,23.0,1.0,46.0,5.0,117.0,84.0,189.0,275.0,15.0,28.0,137.0,18.0,5.0,49.0,210.0,56.0,40.0,5.17,6.57,19.24,4.0,7.0,20.0,399.0,306.0,306.0,6.0,5.38,3.99,3.7,32.65,32.65,29.38,41.16,4.6,2.57,6.3,1.39,14.01,28.12,4.55,4.6,4.55,47.0,10.0,13.0,70.0,1.0,0.0,0.0,5.0,1.0,10.0,40.0,46.0,56.0,6.0,12.0,138.0,51.0,39.0,14.0,35.0,17.0,5.0,1.27,2.0,1.33,0.0,0.0,1.0,70.0,57.0,57.0,11.0,0.58,0.0,0.0,5.18,5.18,5.13
MIN,2022,MIN,MIN,Team Level,other,60,0.55,0.53,0.54,8816.0,143.03,33.32,10.34,24.33,4.67,72.06,47.28,28.83,33.32,28.83,140.0,52.0,50.0,242.0,25.0,13.0,3.0,16.0,2.0,74.0,62.0,115.0,167.0,5.0,10.0,96.0,26.0,17.0,20.0,89.0,57.0,46.0,3.76,7.17,22.38,2.0,6.0,17.0,242.0,192.0,192.0,7.0,3.09,4.7,4.7,31.71,31.71,28.44,121.11,27.3,8.92,21.99,4.09,59.02,39.69,24.68,27.3,24.68,119.0,42.0,54.0,215.0,27.0,18.0,4.0,15.0,1.0,43.0,57.0,92.0,134.0,10.0,20.0,116.0,25.0,23.0,21.0,71.0,47.0,43.0,2.78,5.93,18.59,1.0,6.0,20.0,215.0,161.0,161.0,11.0,2.62,5.39,5.39,24.52,24.52,23.37
MIN,2022,MIN,MIN,Team Level,all,60,0.51,0.51,0.52,219997.0,1928.27,189.35,134.0,435.06,62.69,1061.12,781.78,179.68,189.67,180.01,1875.0,789.0,884.0,3548.0,169.0,169.0,23.0,384.0,54.0,910.0,978.0,1706.0,2495.0,246.0,565.0,1592.0,1312.0,410.0,384.0,1922.0,555.0,187.0,55.68,67.33,66.32,41.0,72.0,56.0,3560.89,2664.0,2673.16,188.0,30.06,34.8,34.8,184.6,184.96,178.74,1808.93,179.08,124.06,418.97,60.53,1002.98,718.37,169.33,178.92,169.25,1797.0,707.0,949.0,3453.0,163.0,158.0,19.0,342.0,75.0,818.0,948.0,1634.0,2341.0,245.0,566.0,1774.0,1160.0,354.0,419.0,1818.0,505.0,181.0,52.25,60.4,66.44,55.0,56.0,52.0,3447.45,2504.0,2504.83,234.0,27.61,33.45,33.54,173.15,173.4,167.28
MIN,2022,MIN,MIN,Team Level,5on5,60,0.51,0.51,0.51,175323.0,1445.26,116.67,94.41,343.21,46.78,800.78,604.16,113.34,117.0,113.67,1384.0,622.0,722.0,2728.0,97.0,115.0,12.0,309.0,45.0,688.0,752.0,1287.0,1909.0,228.0,529.0,1190.0,1222.0,347.0,317.0,1509.0,402.0,95.0,43.14,48.62,24.91,35.0,45.0,17.0,2740.89,2006.0,2015.16,159.0,19.47,20.55,20.76,115.39,115.75,113.85,1381.77,113.55,89.42,335.29,46.5,763.78,567.45,109.56,113.39,109.47,1365.0,551.0,739.0,2655.0,105.0,113.0,13.0,270.0,62.0,619.0,747.0,1260.0,1811.0,209.0,494.0,1340.0,1082.0,278.0,337.0,1445.0,376.0,95.0,41.81,44.79,26.96,48.0,41.0,16.0,2649.45,1916.0,1916.83,200.0,18.42,23.12,23.77,108.2,108.46,106.52
MIN,2022,MIN,MIN,Team Level,4on5,60,0.14,0.13,0.16,18720.0,56.27,5.55,2.53,7.84,1.72,16.93,39.43,5.43,5.55,5.43,56.0,18.0,7.0,81.0,7.0,3.0,0.0,4.0,1.0,9.0,50.0,49.0,67.0,4.0,8.0,144.0,43.0,34.0,17.0,49.0,17.0,8.0,1.32,2.07,2.15,0.0,4.0,3.0,81.0,74.0,74.0,16.0,0.59,0.85,0.85,5.29,5.29,5.27,274.04,34.74,24.02,57.27,8.96,170.0,88.99,31.62,34.74,31.62,280.0,104.0,149.0,533.0,30.0,27.0,2.0,52.0,11.0,150.0,114.0,250.0,354.0,16.0,32.0,187.0,11.0,10.0,40.0,273.0,73.0,38.0,6.82,8.6,19.31,5.0,9.0,16.0,533.0,384.0,384.0,4.0,6.17,4.93,4.37,36.54,36.54,33.53
MIN,2022,MIN,MIN,Team Level,5on4,60,0.91,0.91,0.9,17138.0,283.72,33.81,26.73,59.69,9.52,171.35,90.91,32.09,33.81,32.09,295.0,97.0,105.0,497.0,40.0,38.0,8.0,55.0,6.0,139.0,114.0,255.0,352.0,9.0,18.0,162.0,21.0,12.0,30.0,275.0,79.0,38.0,7.46,9.47,16.88,4.0,17.0,19.0,497.0,392.0,392.0,6.0,6.9,8.7,8.5,32.21,32.21,31.17,32.02,3.49,1.7,4.43,0.99,10.17,22.23,3.47,3.49,3.47,33.0,10.0,7.0,50.0,1.0,0.0,0.0,5.0,1.0,6.0,30.0,32.0,42.0,10.0,20.0,131.0,42.0,43.0,21.0,29.0,9.0,5.0,0.83,1.08,1.58,1.0,0.0,0.0,50.0,43.0,43.0,19.0,0.39,0.0,0.0,3.88,3.88,3.86
FLA,2022,FLA,FLA,Team Level,other,61,0.47,0.55,0.54,10281.0,150.13,33.44,11.66,26.48,5.04,83.82,44.57,29.34,33.44,29.34,146.0,59.0,79.0,284.0,24.0,22.0,4.0,24.0,6.0,77.0,52.0,122.0,181.0,11.0,25.0,118.0,24.0,20.0,23.0,109.0,48.0,48.0,4.41,6.1,22.93,2.0,4.0,18.0,284.0,205.0,205.0,6.0,3.62,8.36,7.76,29.3,29.3,27.23,127.56,37.68,8.9,21.56,4.29,62.03,38.54,35.66,37.68,35.66,129.0,44.0,64.0,237.0,33.0,16.0,1.0,24.0,5.0,50.0,45.0,96.0,140.0,7.0,17.0,116.0,29.0,18.0,24.0,69.0,47.0,57.0,2.69,6.24,28.75,5.0,6.0,22.0,237.0,173.0,173.0,7.0,2.68,5.02,5.02,35.34,35.34,33.86
FLA,2022,FLA,FLA,Team Level,all,61,0.52,0.54,0.53,221196.0,2216.31,235.77,158.56,509.25,74.71,1207.99,863.71,221.28,237.2,222.61,2240.0,810.0,983.0,4033.0,208.0,236.0,43.0,466.0,66.0,1011.0,1063.0,2032.0,2842.0,277.0,613.0,1834.0,1233.0,433.0,537.0,2195.0,588.0,267.0,64.33,72.77,98.68,62.0,72.0,74.0,4060.19,3050.0,3069.81,237.0,35.96,58.48,59.03,212.7,213.87,206.98,1948.32,213.92,138.8,452.88,65.88,1061.72,758.81,202.61,213.52,202.28,1977.0,715.0,801.0,3493.0,212.0,192.0,30.0,403.0,85.0,846.0,954.0,1765.0,2480.0,266.0,588.0,1946.0,1271.0,402.0,588.0,1894.0,555.0,243.0,53.77,68.46,91.68,75.0,63.0,74.0,3479.17,2692.0,2682.94,290.0,31.38,40.1,40.14,205.16,204.87,196.71
FLA,2022,FLA,FLA,Team Level,5on5,61,0.54,0.54,0.53,171029.0,1646.53,147.53,110.67,399.73,55.31,895.32,663.43,141.06,148.96,142.38,1672.0,600.0,753.0,3025.0,137.0,166.0,26.0,364.0,44.0,742.0,819.0,1535.0,2135.0,244.0,536.0,1351.0,1122.0,356.0,434.0,1669.0,455.0,148.0,48.96,56.34,42.23,52.0,57.0,28.0,3052.19,2272.0,2291.81,198.0,22.94,36.1,36.55,133.92,135.1,132.77,1457.04,127.32,99.61,355.1,49.36,801.34,586.27,122.82,126.93,122.5,1463.0,556.0,598.0,2617.0,124.0,134.0,19.0,315.0,62.0,644.0,740.0,1339.0,1895.0,241.0,532.0,1438.0,1159.0,323.0,488.0,1482.0,416.0,121.0,42.52,50.78,34.02,57.0,44.0,23.0,2603.17,2019.0,2009.94,256.0,20.62,27.27,27.3,120.64,120.34,118.39
FLA,2022,FLA,FLA,Team Level,4on5,61,0.12,0.16,0.17,19747.0,66.68,6.05,3.2,9.36,1.98,21.08,47.34,5.74,6.05,5.74,70.0,19.0,15.0,104.0,3.0,2.0,1.0,8.0,2.0,19.0,55.0,67.0,86.0,9.0,28.0,170.0,63.0,43.0,28.0,69.0,12.0,8.0,2.2,1.42,2.42,1.0,0.0,2.0,104.0,89.0,89.0,27.0,0.73,0.58,0.58,6.21,6.21,6.03,310.01,43.27,27.56,68.22,10.39,180.39,96.18,38.57,43.27,38.57,329.0,97.0,126.0,552.0,49.0,36.0,9.0,61.0,16.0,136.0,128.0,280.0,377.0,11.0,25.0,212.0,21.0,17.0,55.0,288.0,79.0,59.0,7.07,9.61,26.58,12.0,10.0,27.0,552.0,426.0,426.0,7.0,7.46,6.47,6.47,44.27,44.27,39.57
FLA,2022,FLA,FLA,Team Level,5on4,61,0.9,0.88,0.87,20139.0,352.96,48.75,33.04,73.69,12.37,207.78,108.38,45.14,48.75,45.14,352.0,132.0,136.0,620.0,44.0,46.0,12.0,70.0,14.0,173.0,137.0,308.0,440.0,13.0,24.0,195.0,24.0,14.0,52.0,348.0,73.0,63.0,8.75,8.9,31.1,7.0,11.0,26.0,620.0,484.0,484.0,6.0,8.66,13.44,14.14,43.27,43.27,40.95,53.7,5.65,2.72,8.0,1.83,17.96,37.83,5.55,5.65,5.55,56.0,18.0,13.0,87.0,6.0,6.0,1.0,3.0,2.0,16.0,41.0,50.0,68.0,7.0,14.0,180.0,62.0,44.0,21.0,55.0,13.0,6.0,1.49,1.83,2.33,1.0,3.0,2.0,87.0,74.0,74.0,20.0,0.62,1.35,1.35,4.92,4.92,4.88
WSH,2022,WSH,WSH,Team Level,other,62,0.49,0.52,0.53,8493.0,122.9,26.34,8.25,22.51,4.04,62.39,42.46,24.45,26.34,24.45,117.0,49.0,53.0,219.0,26.0,8.0,2.0,18.0,6.0,59.0,49.0,91.0,140.0,8.0,16.0,88.0,26.0,12.0,19.0,90.0,41.0,35.0,3.18,5.17,17.99,6.0,6.0,14.0,219.0,166.0,166.0,8.0,2.31,3.2,3.2,25.45,25.45,24.26,103.72,27.34,6.71,17.53,3.4,52.76,36.33,25.13,27.34,25.13,103.0,42.0,61.0,206.0,24.0,8.0,2.0,11.0,3.0,56.0,43.0,79.0,121.0,7.0,14.0,98.0,16.0,15.0,24.0,77.0,29.0,39.0,2.88,3.49,20.98,0.0,3.0,21.0,206.0,145.0,145.0,9.0,1.91,2.45,2.28,26.9,26.9,25.46
WSH,2022,WSH,WSH,Team Level,all,62,0.5,0.51,0.51,225232.0,2008.09,198.07,137.51,466.08,67.08,1083.68,803.59,188.44,198.46,188.86,1952.0,804.0,998.0,3754.0,187.0,192.0,26.0,412.0,59.0,900.0,1007.0,1765.0,2569.0,214.0,482.0,1733.0,1581.0,434.0,559.0,1967.0,591.0,198.0,57.19,72.05,68.81,53.0,70.0,64.0,3749.65,2756.0,2756.4,290.0,30.37,38.29,38.74,189.69,190.15,184.81,1906.26,194.24,129.48,440.24,62.98,1049.2,769.92,185.29,194.74,185.76,1869.0,778.0,953.0,3600.0,185.0,147.0,26.0,415.0,54.0,849.0,997.0,1684.0,2462.0,232.0,513.0,1757.0,1465.0,501.0,532.0,1893.0,559.0,195.0,56.69,67.94,69.61,59.0,60.0,66.0,3616.94,2647.0,2656.33,279.0,28.38,32.26,32.26,190.3,190.74,185.67
WSH,2022,WSH,WSH,Team Level,5on5,62,0.51,0.51,0.51,182558.0,1578.67,137.52,102.94,380.25,52.31,844.25,644.73,132.38,137.91,132.8,1541.0,621.0,808.0,2970.0,125.0,153.0,20.0,344.0,46.0,680.0,815.0,1416.0,2037.0,192.0,438.0,1372.0,1486.0,376.0,467.0,1565.0,471.0,126.0,45.87,57.65,33.99,41.0,54.0,30.0,2965.65,2162.0,2162.4,262.0,21.36,29.93,30.38,128.49,128.94,126.72,1507.04,130.02,98.54,364.85,49.94,831.64,617.0,126.18,130.51,126.66,1472.0,620.0,758.0,2850.0,130.0,114.0,16.0,348.0,44.0,643.0,813.0,1342.0,1962.0,209.0,469.0,1324.0,1383.0,424.0,439.0,1546.0,433.0,113.0,46.37,52.61,31.03,54.0,50.0,26.0,2866.94,2092.0,2101.32,241.0,20.33,22.21,22.38,127.98,128.41,126.46
